,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
2005,Z1D Extra Large,z1d.xlarge,Intel Xeon Platinum 8151,64-bit,eu-west-2,0.439,0.281,4,32.0,150
2006,R5DN Quadruple Extra Large,r5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,16,128.0,600
2007,R5D Eight Extra Large,r5d.8xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,2.704,1.723,32,256.0,1200
2008,T3 Double Extra Large,t3.2xlarge,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.3776,0.2667,8                                                   for a                 9h 36m                 burst,32.0,0
2009,G3 Eight Extra Large,g3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,2.858,2.0202,32,244.0,0
2010,I3 High I/O Metal,i3.metal,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,72,512.0,15200
2011,M4 General Purpose Double Extra Large,m4.2xlarge,Intel Xeon E5-2676 v3 (Haswell),64-bit,eu-west-2,0.464,0.315,8,32.0,0
2012,Z1D Metal,z1d.metal,Intel Xeon Platinum 8151,64-bit,eu-west-2,5.273,3.366,48,384.0,1800
2013,G4DN 12xlarge,g4dn.12xlarge,Intel Xeon Family,64-bit,eu-west-2,4.577,3.124,48,192.0,900
2014,R5AD Large,r5ad.large,AMD EPYC 7571,64-bit,eu-west-2,0.154,0.098,2,16.0,75
2015,R5 Quadruple Extra Large,r5.4xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,1.184,0.746,16,128.0,0
2016,R5D Double Extra Large,r5d.2xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.676,0.431,8,64.0,300
2017,R5 Large,r5.large,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.148,0.093,2,16.0,0
2018,I3 High I/O Large,i3.large,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.181,0.124,2,15.25,475
2019,Z1D Large,z1d.large,Intel Xeon Platinum 8151,64-bit,eu-west-2,0.22,0.14,2,16.0,75
2020,I3 High I/O 16xlarge,i3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,5.792,3.965,64,488.0,15200
2021,M5AD 12xlarge,m5ad.12xlarge,AMD EPYC 7571,64-bit,eu-west-2,2.88,2.016,48,192.0,1800
2022,I3EN Large,i3en.large,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.263,0.18,2,16.0,1250
2023,C5N Metal,c5n.metal,Intel Xeon Platinum 8124M,64-bit,eu-west-2,0.0,0.0,72,192.0,0
2024,I2 Quadruple Extra Large,i2.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,16,122.0,3200
2025,M5DN Double Extra Large,m5dn.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,8,32.0,300
2026,R5 Extra Large,r5.xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.296,0.186,4,32.0,0
2027,I3 High I/O Double Extra Large,i3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.724,0.496,8,61.0,1900
2028,G4DN Extra Large,g4dn.xlarge,Intel Xeon Family,64-bit,eu-west-2,0.615,0.42,4,16.0,125
2029,R5D Large,r5d.large,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.169,0.108,2,16.0,75
2030,G3 Quadruple Extra Large,g3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,1.429,1.0101,16,122.0,0
2031,R5DN 24xlarge,r5dn.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,768.0,3600
2032,R5D 12xlarge,r5d.12xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,4.056,2.584,48,384.0,1800
2033,R5DN Double Extra Large,r5dn.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,8,64.0,300
2034,G2 Eight Extra Large,g2.8xlarge,Intel Xeon E5-2670 (Sandy Bridge),64-bit,eu-west-2,0.0,0.0,32,60.0,240
2035,I3 High I/O Quadruple Extra Large,i3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,1.448,0.991,16,122.0,3800
2036,T3A Small,t3a.small,AMD EPYC 7571,64-bit,eu-west-2,0.0212,0.015,2                                                   for a                 4h 48m                 burst,2.0,0
2037,R3 High-Memory Quadruple Extra Large,r3.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,16,122.0,320
2038,M1 General Purpose Large,m1.large,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,2,7.5,840
2039,M2 High Memory Quadruple Extra Large,m2.4xlarge,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,8,68.4,1680
2040,R3 High-Memory Eight Extra Large,r3.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,eu-west-2,0.0,0.0,32,244.0,640
2041,P3 Eight Extra Large,p3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,14.356,9.798,32,244.0,0
2042,M2 High Memory Extra Large,m2.xlarge,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,2,17.1,420
2043,C1 High-CPU Medium,c1.medium,Intel Xeon Family,32/64-bit,eu-west-2,0.0,0.0,2,1.7,350
2044,Cluster Compute Eight Extra Large,cc2.8xlarge,Intel Xeon E5-2670,64-bit,eu-west-2,0.0,0.0,32,60.5,3360
2045,T3A Double Extra Large,t3a.2xlarge,AMD EPYC 7571,64-bit,eu-west-2,0.3398,0.2401,8                                                   for a                 9h 36m                 burst,32.0,0
2046,C1 High-CPU Extra Large,c1.xlarge,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,8,7.0,1680
2047,R5D 16xlarge,r5d.16xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,5.408,3.446,64,512.0,2400
2048,G4DN Double Extra Large,g4dn.2xlarge,Intel Xeon Family,64-bit,eu-west-2,0.88,0.6,8,32.0,225
2049,M2 High Memory Double Extra Large,m2.2xlarge,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,4,34.2,850
2050,R5AD Quadruple Extra Large,r5ad.4xlarge,AMD EPYC 7571,64-bit,eu-west-2,1.232,0.784,16,128.0,600
2051,T3A Nano,t3a.nano,AMD EPYC 7571,64-bit,eu-west-2,0.0053,0.0038,2                                                   for a                 1h 12m                 burst,0.5,0
2052,M5N Metal,m5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,384.0,0
2053,R5AD 12xlarge,r5ad.12xlarge,AMD EPYC 7571,64-bit,eu-west-2,3.696,2.351,48,384.0,1800
2054,M5A Large,m5a.large,AMD EPYC 7571,64-bit,eu-west-2,0.1,0.07,2,8.0,0
2055,I3 High I/O Eight Extra Large,i3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,2.896,1.982,32,244.0,7600
2056,High Memory Cluster Eight Extra Large,cr1.8xlarge,Intel Xeon E5-2670,64-bit,eu-west-2,0.0,0.0,32,244.0,240
2057,M5N Eight Extra Large,m5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,32,128.0,0
2058,M5A 24xlarge,m5a.24xlarge,AMD EPYC 7571,64-bit,eu-west-2,4.8,3.359,96,384.0,0
